Date,Open,High,Low,Close,Adj Close,Volume
2016-11-10,2.480000,2.480000,2.480000,2.480000,2.480000,0
2016-11-11,2.480000,2.480000,2.480000,2.480000,2.480000,0
2016-11-15,2.480000,2.480000,2.480000,2.480000,2.480000,0
2016-11-16,2.360000,2.360000,2.360000,2.360000,2.360000,39
2016-11-17,2.460000,2.460000,2.250000,2.250000,2.250000,50
2016-11-18,2.360000,2.360000,2.360000,2.360000,2.360000,60
2016-11-21,2.470000,2.470000,2.470000,2.470000,2.470000,100
2016-11-22,2.590000,2.590000,2.590000,2.590000,2.590000,50
2016-11-23,2.590000,2.590000,2.590000,2.590000,2.590000,0
2016-11-24,2.590000,2.590000,2.590000,2.590000,2.590000,0
2016-11-25,2.590000,2.590000,2.590000,2.590000,2.590000,0
2016-11-28,2.710000,2.710000,2.500000,2.500000,2.500000,75
2016-11-29,2.390000,2.450000,2.390000,2.450000,2.450000,20
2016-11-30,2.450000,2.450000,2.450000,2.450000,2.450000,0
2016-12-01,2.450000,2.450000,2.450000,2.450000,2.450000,0
2016-12-02,2.570000,2.570000,2.570000,2.570000,2.570000,10
2016-12-05,2.690000,2.690000,2.690000,2.690000,2.690000,50
2016-12-06,2.820000,2.820000,2.580000,2.580000,2.580000,105
2016-12-07,2.700000,2.700000,2.700000,2.700000,2.700000,100
2016-12-08,2.830000,2.830000,2.830000,2.830000,2.830000,50
2016-12-09,2.970000,2.970000,2.720000,2.720000,2.720000,55
2016-12-12,2.850000,2.850000,2.850000,2.850000,2.850000,100
2016-12-13,2.990000,2.990000,2.990000,2.990000,2.990000,100
2016-12-14,3.130000,3.130000,3.130000,3.130000,3.130000,100
2016-12-15,3.130000,3.130000,3.130000,3.130000,3.130000,0
2016-12-16,3.130000,3.130000,3.130000,3.130000,3.130000,0
2016-12-19,3.180000,3.180000,3.010000,3.010000,3.010000,60
2016-12-20,3.160000,3.160000,3.160000,3.160000,3.160000,55
2016-12-21,3.160000,3.160000,3.160000,3.160000,3.160000,0
2016-12-22,3.160000,3.160000,3.160000,3.160000,3.160000,0
2016-12-23,3.160000,3.160000,3.160000,3.160000,3.160000,0
2016-12-26,3.160000,3.160000,3.160000,3.160000,3.160000,0
2016-12-27,3.160000,3.160000,3.160000,3.160000,3.160000,0
2016-12-28,3.160000,3.160000,3.160000,3.160000,3.160000,0
2016-12-29,3.160000,3.160000,3.160000,3.160000,3.160000,0
2016-12-30,3.160000,3.160000,3.160000,3.160000,3.160000,0
2017-01-02,3.010000,3.010000,3.010000,3.010000,3.010000,1
2017-01-03,3.010000,3.010000,3.010000,3.010000,3.010000,0
2017-01-04,3.010000,3.010000,3.010000,3.010000,3.010000,0
2017-01-05,3.010000,3.010000,3.010000,3.010000,3.010000,0
2017-01-06,3.010000,3.010000,3.010000,3.010000,3.010000,0
2017-01-09,3.010000,3.010000,3.010000,3.010000,3.010000,0
2017-01-10,2.870000,2.870000,2.870000,2.870000,2.870000,1
2017-01-11,3.010000,3.010000,3.010000,3.010000,3.010000,1
2017-01-12,3.010000,3.010000,3.010000,3.010000,3.010000,0
2017-01-13,2.870000,2.870000,2.870000,2.870000,2.870000,29
2017-01-16,2.870000,2.870000,2.870000,2.870000,2.870000,0
